feature,coefficient
cat__RoofMatl_Metal,0.5066536159299321
cat__RoofMatl_Tar&Grv,0.38083119343290694
cat__RoofMatl_WdShngl,0.3731733470297261
cat__RoofMatl_Roll,0.36908187442463414
cat__GarageCond_Po,0.36785644353934166
cat__GarageQual_Ex,0.3615335907815909
cat__RoofMatl_WdShake,0.3593690065145718
cat__Condition2_Feedr,0.3572186581923937
cat__RoofMatl_CompShg,0.3542805085159378
cat__RoofStyle_Shed,0.22876353241635927
cat__Heating_Wall,0.21275592948348307
cat__SaleType_Oth,0.17711590084567352
cat__Condition2_Norm,0.1579632177929017
cat__Neighborhood_StoneBr,0.15582738229110743
cat__Condition2_Artery,0.14897389468591982
cat__Functional_Typ,0.146042384979849
cat__MiscFeature_Shed,0.13581140296705335
cat__BsmtCond_Po,0.12112351734287721
cat__Neighborhood_Crawfor,0.1197243030060895
cat__SaleCondition_Alloca,0.11606285253571437
cat__Condition2_RRAn,0.11274548643682966
cat__Exterior1st_BrkFace,0.11018898701886652
cat__Functional_Min2,0.10882198776300453
cat__PoolQC_Gd,0.10772952063799941
cat__Exterior2nd_CmentBd,0.10512286433146042
cat__Utilities_AllPub,0.10303837224861463
cat__Exterior1st_Stone,0.10246415514670891
cat__Functional_Min1,0.1001296972678663
cat__Exterior2nd_AsphShn,0.0983118296433861
cat__MSZoning_FV,0.08761304768043947
cat__Heating_GasW,0.08744553754634005
cat__Functional_Maj1,0.08550836165680972
cat__GarageType_CarPort,0.08506992811484143
cat__Neighborhood_NridgHt,0.0770310735423133
cat__Neighborhood_NPkVill,0.07390358169724401
cat__Exterior1st_AsbShng,0.07298916230180454
cat__Neighborhood_Veenker,0.0718847810885701
cat__SaleType_ConLD,0.06999248480735412
cat__Exterior2nd_Wd Sdng,0.06727995249177493
num__YearBuilt,0.06596874146483649
cat__HouseStyle_2.5Unf,0.0658236160031031
cat__MSZoning_RL,0.06457847420108119
cat__LotConfig_CulDSac,0.06397279086467643
cat__MSZoning_RH,0.06389554591818582
cat__Exterior1st_MetalSd,0.06334362568735527
cat__Heating_GasA,0.06295975136716324
num__GrLivArea,0.060286407913803436
num__OverallQual,0.05927554280799419
cat__Foundation_Stone,0.058137683632205166
cat__BldgType_2fmCon,0.05655724819194435
cat__MSZoning_RM,0.052277465260399295
cat__Foundation_PConc,0.05131955869372261
cat__Condition1_RRNe,0.05080807771109383
cat__LandSlope_Gtl,0.04756995860598329
cat__Exterior2nd_ImStucc,0.047304002035574014
cat__SaleCondition_AdjLand,0.047275916816805964
cat__ExterCond_Ex,0.04427544570216907
cat__HouseStyle_1.5Unf,0.044225277775074054
cat__Neighborhood_NoRidge,0.04347957899056612
cat__SaleType_Con,0.04333938137602634
cat__BsmtQual_Ex,0.042488490602647686
num__2ndFlrSF,0.0420874049242505
cat__Exterior2nd_Stucco,0.0415468712585704
cat__Neighborhood_ClearCr,0.04104061133219952
cat__Alley_Pave,0.040357085803314874
cat__Condition1_PosN,0.040246712300688076
cat__BldgType_1Fam,0.039411191356993204
cat__Functional_Mod,0.03884352413027739
num__OverallCond,0.03878658359455791
cat__LandSlope_Mod,0.03818064304120848
num__GarageArea,0.03711648412373496
cat__BsmtExposure_Gd,0.0366071252775963
cat__Condition1_Norm,0.0354480269219422
cat__Neighborhood_Blmngtn,0.0352118302284525
cat__HeatingQC_Ex,0.03457300120477746
cat__FireplaceQu_Po,0.03406686595291287
cat__Electrical_FuseA,0.03386610368339371
num__1stFlrSF,0.033862110895986404
cat__LotConfig_Corner,0.03252387145642449
cat__Foundation_CBlock,0.0315328894838731
cat__SaleType_CWD,0.03136584733846683
num__TotalBsmtSF,0.03090983400128073
cat__CentralAir_Y,0.029082694515433095
cat__LandContour_HLS,0.02889507696455828
cat__HeatingQC_Fa,0.02882809892395781
cat__RoofStyle_Mansard,0.027498825084497212
cat__Neighborhood_Timber,0.02702289988547994
cat__Electrical_SBrkr,0.02689717693548059
cat__GarageQual_TA,0.026430563061760014
cat__KitchenQual_Ex,0.0258040886716514
cat__KitchenQual_Fa,0.02504410244981008
num__BsmtFinSF1,0.02391763927966135
num__LotArea,0.023743478199490513
cat__Exterior2nd_Wd Shng,0.023310601759165463
cat__LotConfig_Inside,0.023087842760893065
cat__Street_Pave,0.02235899405792817
cat__Condition1_RRAn,0.021618629915884667
cat__BsmtFinType2_GLQ,0.021244031113576416
cat__HouseStyle_1.5Fin,0.021165691178518214
num__YearRemodAdd,0.020679102115877517
cat__MasVnrType_Stone,0.018266299421820203
cat__BsmtFinType1_GLQ,0.018012099128518505
num__Fireplaces,0.01738423604991662
cat__Exterior1st_VinylSd,0.017381042479498378
cat__Exterior2nd_HdBoard,0.01734746079151043
cat__LandContour_Lvl,0.017295335055308822
cat__GarageType_Detchd,0.017242016031335513
cat__Fence_MnPrv,0.017151130928908628
cat__ExterQual_Ex,0.016148977153102005
cat__Fence_GdPrv,0.015971631300019613
num__BsmtFullBath,0.014379112167674821
cat__FireplaceQu_TA,0.013342975141979421
num__ScreenPorch,0.013158985078311593
